h3_10_id,ratio,hex
8a2f5a36e307fff,0.5,"POLYGON((139.621535585318 35.675636764626, 139.621575506888 35.6763203169823, 139.620928046974 35.6767049067475, 139.620240676214 35.676405941849, 139.620200767505 35.6757223946878, 139.620848216695 35.6753378072299, 139.621535585318 35.675636764626))"
8a2f5a363747fff,0.5,"POLYGON((139.647016466517 35.6873810440822, 139.647056640839 35.6880647149301, 139.646409002169 35.6884494629077, 139.6457211999 35.6881505377252, 139.645681038451 35.6874668720668, 139.646328666398 35.6870821264013, 139.647016466517 35.6873810440822))"
8a2f5a345b8ffff,0.5,"POLYGON((139.631232742139 35.692511580687, 139.631272766538 35.693195196128, 139.630625130845 35.6935798037577, 139.62993748148 35.6932807936388, 139.62989746995 35.6925971833913, 139.630545094915 35.6922125780692, 139.631232742139 35.692511580687))"
8a2f5a34c0f7fff,0.5,"POLYGON((139.591407588126 35.710493246643, 139.591447236945 35.7111767292965, 139.590799565337 35.7115609654658, 139.590112255649 35.7112617166857, 139.590072619695 35.7105782392359, 139.590720280563 35.7101940053624, 139.591407588126 35.710493246643))"
8a2f5a345827fff,0.5,"POLYGON((139.639124482963 35.6899466918642, 139.639164582322 35.6906303350156, 139.638516945128 35.6910150128199, 139.6378292193 35.6907160451629, 139.637789132812 35.690032407203, 139.63843675928 35.6896477317086, 139.639124482963 35.6899466918642))"
8a2f5a34eb6ffff,0.5,"POLYGON((139.591883423268 35.7186951138468, 139.591923081053 35.7193786101975, 139.591275336724 35.7197628219923, 139.590587945353 35.7194635351416, 139.590548300436 35.7187800439948, 139.591196034022 35.7183958344948, 139.591883423268 35.7186951138468))"
8a2f5a36e527fff,0.5,"POLYGON((139.636580458208 35.6808462938591, 139.636620528068 35.6815299137049, 139.635972977561 35.6819146027687, 139.635285367918 35.6816156696763, 139.635245310924 35.6809320550222, 139.635892850708 35.6805473682687, 139.636580458208 35.6808462938591))"
8a2f5a34410ffff,0.5,"POLYGON((139.659274956951 35.7020347167333, 139.659315257783 35.7027184574852, 139.658667454981 35.7031032508406, 139.65797936207 35.7028043011308, 139.657939074118 35.7021205655662, 139.658586866196 35.7017357745241, 139.659274956951 35.7020347167333))"
8a2f5a3616affff,0.5,"POLYGON((139.642047210436 35.6712310979462, 139.642087328 35.6719147255964, 139.641439844504 35.6722994899891, 139.640752254165 35.6720006244187, 139.640712149466 35.6713170019585, 139.641359622242 35.6709322398787, 139.642047210436 35.6712310979462))"
8a2f5a361647fff,0.5,"POLYGON((139.638529219452 35.6683695758997, 139.638569301456 35.6690531853818, 139.637921853393 35.6694379321564, 139.637234334046 35.6691390671365, 139.637194264906 35.6684554628452, 139.63784170225 35.6680707183829, 139.638529219452 35.6683695758997))"
8a2f5a36ac47fff,0.5,"POLYGON((139.616426173 35.6914016529442, 139.616466053595 35.6920852077964, 139.615818472209 35.6924697039818, 139.615131020957 35.6921706430107, 139.615091153227 35.6914870933553, 139.615738723883 35.6911025994741, 139.616426173 35.6914016529442))"
8a2f5a36a7affff,0.5,"POLYGON((139.60889403641 35.7001164126215, 139.608933848816 35.7007999500468, 139.608286214481 35.7011843578277, 139.607598778473 35.700885225882, 139.607558978933 35.7002016936557, 139.608206602534 35.6998172881761, 139.60889403641 35.7001164126215))"
8a2f5a3638c7fff,0.5,"POLYGON((139.653818432963 35.677678871773, 139.653858667853 35.6783625556284, 139.653211092966 35.6787473896297, 139.652523293908 35.6784485374609, 139.652483071888 35.6777648587931, 139.653130636056 35.6773800271066, 139.653818432963 35.677678871773))"
8a2f5a36a257fff,0.5,"POLYGON((139.598464607605 35.6935789620819, 139.598504315666 35.69426244847, 139.597856769651 35.6946467974208, 139.59716952631 35.6943476576839, 139.597129831111 35.693664176497, 139.597777366392 35.6932798298458, 139.598464607605 35.6935789620819))"
8a2f5a36a4cffff,0.5,"POLYGON((139.611683726394 35.7019964489544, 139.611723566786 35.7026800002125, 139.61107590769 35.7030644232801, 139.610388418935 35.7027652927878, 139.610348591411 35.7020817467282, 139.610996239773 35.7016973259623, 139.611683726394 35.7019964489544))"
8a2f5a345b47fff,0.5,"POLYGON((139.628322241056 35.688581163705, 139.628362235195 35.6892647618703, 139.627714642411 35.6896493602698, 139.627027066215 35.6893503581966, 139.626987084943 35.6886667652253, 139.627634667 35.6882821691332, 139.628322241056 35.688581163705))"
8a2f5a34c6affff,0.5,"POLYGON((139.588486215683 35.7178821860332, 139.588525840178 35.718565667663, 139.5878781132 35.7189498557932, 139.587190772471 35.7186505599994, 139.587151160843 35.7179670835742, 139.587798877078 35.7175828977381, 139.588486215683 35.7178821860332))"
8a2f5a363407fff,0.5,"POLYGON((139.657214020792 35.6898135213554, 139.657254295081 35.6904972362837, 139.656606604621 35.6908820553181, 139.655918650593 35.69058315711, 139.65587838918 35.689899447369, 139.656526068919 35.6895146306488, 139.657214020792 35.6898135213554))"
8a2f5a34572ffff,0.5,"POLYGON((139.631833187325 35.7027659326942, 139.631873223038 35.7034495653264, 139.631225496461 35.7038341425988, 139.630537744902 35.7035350849324, 139.630497722062 35.702851457494, 139.631145437908 35.7024668825281, 139.631833187325 35.7027659326942))"
8a2f5a345d57fff,0.5,"POLYGON((139.643491918956 35.6958424186126, 139.643532063738 35.6965260876634, 139.642884362188 35.6969107793279, 139.642196526584 35.6966117996314, 139.642156394677 35.6959281357714, 139.6428040855 35.695543446417, 139.643491918956 35.6958424186126))"
8a2f5a36a0c7fff,0.5625,"POLYGON((139.607927984343 35.6950325804935, 139.607967784692 35.695716106723, 139.607320197438 35.6961005243614, 139.606632820567 35.6958014134685, 139.606593033082 35.695117892438, 139.607240609604 35.6947334771014, 139.607927984343 35.6950325804935))"
8a2f5a36ad9ffff,0.5625,"POLYGON((139.622613731711 35.6940930821102, 139.622653673591 35.6947766655087, 139.622006050153 35.695161200657, 139.621318495565 35.6948621501015, 139.621278566552 35.6941785718986, 139.621926179261 35.6937940390556, 139.622613731711 35.6940930821102))"
8a2f5a34c61ffff,0.5625,"POLYGON((139.587759260136 35.7168994204215, 139.587798877078 35.7175828977381, 139.587151160843 35.7179670835742, 139.58646383841 35.7176677897995, 139.586424234335 35.7169843176877, 139.587071939827 35.7166001341458, 139.587759260136 35.7168994204215))"
8a2f5a36ec67fff,0.59375,"POLYGON((139.63488483194 35.6747795749475, 139.634924882143 35.6754631792369, 139.634277389416 35.6758478758003, 139.633589857209 35.6755489657637, 139.633549819871 35.6748653666662, 139.634197301875 35.6744806724135, 139.63488483194 35.6747795749475))"
8a2f5a34e957fff,0.625,"POLYGON((139.602684391395 35.720065707941, 139.602724154387 35.7207492493316, 139.60207636547 35.7211335405225, 139.601388824303 35.7208342880253, 139.601349074182 35.7201507518361, 139.601996852358 35.7197664629426, 139.602684391395 35.720065707941))"
8a2f5a345397fff,0.625,"POLYGON((139.62904225086 35.7008861062507, 139.629082258566 35.7015697250603, 139.628434556732 35.7019542870336, 139.627746857925 35.7016552278912, 139.627706863092 35.7009716142759, 139.628354554194 35.7005870546086, 139.62904225086 35.7008861062507))"
8a2f5a36b457fff,0.625,"POLYGON((139.589121580786 35.6941751236832, 139.589161198823 35.6948585736558, 139.588513675909 35.6952428478488, 139.587826545693 35.6949436697719, 139.587786940516 35.6942602250028, 139.588434452694 35.693875953107, 139.589121580786 35.6941751236832))"
8a2f5a36a20ffff,0.625,"POLYGON((139.599799403557 35.6934937315078, 139.599839124479 35.6941772230968, 139.599191575167 35.6945615827279, 139.598504315666 35.69426244847, 139.598464607605 35.6935789620819, 139.599112146184 35.6931946047507, 139.599799403557 35.6934937315078))"
8a2f5a345687fff,0.625,"POLYGON((139.630857954772 35.7090041456262, 139.6308979844 35.7096877833584, 139.630250206564 35.7100723317166, 139.629562409832 35.7097732400371, 139.629522393079 35.7090896074993, 139.630170160183 35.7087050614465, 139.630857954772 35.7090041456262))"
8a2f5a345c87fff,0.625,"POLYGON((139.644460840963 35.7009271192464, 139.644500997856 35.7016107994863, 139.643853249223 35.7019954813258, 139.643165354423 35.7016964806158, 139.643125210406 35.7010128055667, 139.643772948312 35.7006281260369, 139.644460840963 35.7009271192464))"
8a2f5a36a4f7fff,0.65625,"POLYGON((139.614354054712 35.701825804898, 139.614393920842 35.7025093665521, 139.613746255163 35.7028938109881, 139.613058734089 35.7025946914675, 139.613018880828 35.7019111350112, 139.613666535773 35.7015266928776, 139.614354054712 35.701825804898))"
8a2f5a363307fff,0.65625,"POLYGON((139.645319619453 35.6813139328692, 139.645359774094 35.6819975881797, 139.644712193212 35.6823823436525, 139.644024468412 35.6820834415024, 139.643984326642 35.6813997913816, 139.644631896802 35.6810150382211, 139.645319619453 35.6813139328692))"
8a2f5a36ac2ffff,0.65625,"POLYGON((139.619096270872 35.6912307236198, 139.619136177199 35.691914288865, 139.618488589237 35.6922988064149, 139.617801105676 35.6919997564148, 139.617761212215 35.6913161963658, 139.618408789448 35.6909316811208, 139.619096270872 35.6912307236198))"
8a2f5a340367fff,0.65625,"POLYGON((139.630610452615 35.716225104472, 139.630650483725 35.7169087515966, 139.630002643887 35.7172932733337, 139.629314783673 35.7169941456416, 139.62927476544 35.7163105037117, 139.629922594543 35.7159259842791, 139.630610452615 35.716225104472))"
8a2f5a345807fff,0.6875,"POLYGON((139.638516945128 35.6910150128199, 139.638557039184 35.6916986550977, 139.637909394542 35.6920833245269, 139.637221666568 35.6917843493686, 139.637181585383 35.6911007122825, 139.6378292193 35.6907160451629, 139.638516945128 35.6910150128199))"
8a2f5a34e91ffff,0.6875,"POLYGON((139.604747077446 35.7209634359899, 139.60478686087 35.7216469868917, 139.604139057915 35.7220312910675, 139.603451482277 35.7217320420438, 139.603411711724 35.721048496343, 139.604059503938 35.7206641944649, 139.604747077446 35.7209634359899))"
8a2f5a36e60ffff,0.6875,"POLYGON((139.622742092989 35.6848220325658, 139.622782031144 35.6855056030583, 139.622134487836 35.6858901708654, 139.621447017099 35.6855911658735, 139.621407091808 35.6849076005762, 139.622054624389 35.6845230350756, 139.622742092989 35.6848220325658))"
8a2f5a36a7a7fff,0.6875,"POLYGON((139.610229113339 35.7000311154201, 139.610268938613 35.7007146580441, 139.609621300984 35.7010990765083, 139.608933848816 35.7007999500468, 139.60889403641 35.7001164126215, 139.609541663305 35.6997319964589, 139.610229113339 35.7000311154201))"
8a2f5a363947fff,0.71875,"POLYGON((139.655519628656 35.6724222103607, 139.655559877166 35.6731058933539, 139.654912342798 35.6734907585112, 139.654224570637 35.6731919383595, 139.654184334997 35.6725082605532, 139.654831858647 35.6721233977118, 139.655519628656 35.6724222103607))"
8a2f5a341447fff,0.71875,"POLYGON((139.618101805131 35.7201119427768, 139.618141717299 35.7207955456704, 139.617493881408 35.7211799567304, 139.616806144086 35.7208807625957, 139.616766244793 35.7201971648999, 139.617414069947 35.7198127561409, 139.618101805131 35.7201119427768))"
8a2f5a344847fff,0.75,"POLYGON((139.658912283632 35.6958811015076, 139.65895257763 35.6965648319489, 139.658304829369 35.6969496434918, 139.657616797834 35.6966507222794, 139.657576516714 35.6959669970251, 139.658224254252 35.6955821877962, 139.658912283632 35.6958811015076))"
8a2f5a3456a7fff,0.75,"POLYGON((139.631465690225 35.7079359502709, 139.631505725159 35.7086195888855, 139.630857954772 35.7090041456262, 139.630170160183 35.7087050614465, 139.630130138124 35.708021428026, 139.630777897779 35.7076368735911, 139.631465690225 35.7079359502709))"
8a2f5a36855ffff,0.75,"POLYGON((139.60818828172 35.6764923380208, 139.60822807469 35.6771758384123, 139.607580647656 35.6775603213951, 139.606893438378 35.6772613016824, 139.606853658266 35.6765778064891, 139.607501074573 35.6761933258104, 139.60818828172 35.6764923380208))"
8a2f5a34c01ffff,0.75,"POLYGON((139.592015598165 35.7094255185455, 139.592055252296 35.7101090020865, 139.591407588126 35.710493246643, 139.590720280563 35.7101940053624, 139.590680639297 35.7095105270248, 139.591328292728 35.7091262847644, 139.592015598165 35.7094255185455))"
8a2f5a345a6ffff,0.75,"POLYGON((139.625044330451 35.6898205153851, 139.625084293551 35.6905041022875, 139.624436699889 35.6908886709451, 139.623749153855 35.6905896503938, 139.623709203623 35.6899060686863, 139.624356786556 35.6895215023352, 139.625044330451 35.6898205153851))"
8a2f5a345877fff,0.75,"POLYGON((139.636453802086 35.6901181063646, 139.636493875704 35.6908017391326, 139.635846245065 35.6911863955677, 139.635158551535 35.6908874169254, 139.635118490788 35.6902037893495, 139.635766110701 35.6898191352237, 139.636453802086 35.6901181063646))"
8a2f5a36068ffff,0.75,"POLYGON((139.665230302317 35.6779729211091, 139.665270647763 35.678656650773, 139.664623036031 35.6790415725677, 139.663935089572 35.6787427623809, 139.663894757001 35.6780590379018, 139.664542358015 35.6776741184247, 139.665230302317 35.6779729211091))"
8a2f5a345277fff,0.75,"POLYGON((139.622853394281 35.6981945997025, 139.622893340677 35.6988781899802, 139.622245680889 35.6992627129809, 139.621558085436 35.698963643399, 139.62151815191 35.6982800583171, 139.622165800967 35.6978955376212, 139.622853394281 35.6981945997025))"
8a2f5a34121ffff,0.75,"POLYGON((139.606451665926 35.7157091612066, 139.606491463036 35.7163927113566, 139.605843700595 35.7167770467894, 139.605156151784 35.7164778297736, 139.605116367547 35.715794284824, 139.605764119248 35.7154099516899, 139.606451665926 35.7157091612066))"
8a2f5a34534ffff,0.75,"POLYGON((139.622733559609 35.6961438357465, 139.622773503747 35.6968274225855, 139.622125862135 35.6972119516605, 139.621438287115 35.6969128915914, 139.621398355846 35.6962293099481, 139.622045986728 35.6958447831782, 139.622733559609 35.6961438357465))"
8a2f5a3414e7fff,0.75,"POLYGON((139.619557162316 35.7220775321653, 139.619597089619 35.7227611436749, 139.618949232251 35.7231455593371, 139.618261458319 35.7228463611886, 139.618221543894 35.7221627548765, 139.618869390523 35.7217783415154, 139.619557162316 35.7220775321653))"
8a2f5a3451a7fff,0.75,"POLYGON((139.638270220521 35.6982361384545, 139.638310316074 35.698919790179, 139.637662609454 35.6993044330286, 139.636974818009 35.6990054218451, 139.63693473533 35.6983217753127, 139.637582431222 35.6979371347718, 139.638270220521 35.6982361384545))"
8a2f5a36a737fff,0.75,"POLYGON((139.610109642021 35.6979804944221, 139.610149465044 35.6986640336088, 139.60950184559 35.6990484581526, 139.608814413847 35.6987493412077, 139.608774603691 35.6980658072197, 139.609422212411 35.6976813849777, 139.610109642021 35.6979804944221))"
8a2f5a344337fff,0.75,"POLYGON((139.652595736972 35.702463798977, 139.652635973404 35.7031475137893, 139.65198818695 35.7035322536946, 139.651300174789 35.7032332764761, 139.651259951236 35.7025495668527, 139.651907726964 35.7021648292589, 139.652595736972 35.702463798977))"
8a2f5a363247fff,0.75,"POLYGON((139.639371100093 35.6827256171511, 139.639411197955 35.6834092508311, 139.638763622724 35.6837939551989, 139.638075960355 35.6834950235758, 139.638035875362 35.682811395087, 139.638683439869 35.68242669303, 139.639371100093 35.6827256171511))"
8a2f5a341a97fff,0.75,"POLYGON((139.61288929669 35.7111818676097, 139.612929153654 35.7118654369059, 139.612281411107 35.7122498379448, 139.611593822334 35.7119506673865, 139.611553978242 35.7112671032889, 139.612201710051 35.7108827045509, 139.61288929669 35.7111818676097))"
8a2f5a34c90ffff,0.75,"POLYGON((139.598094997379 35.6987477276707, 139.598134704619 35.6994312200577, 139.597487114823 35.6998155484622, 139.596799828524 35.6995163821809, 139.596760134147 35.6988328949954, 139.597407713207 35.6984485688898, 139.598094997379 35.6987477276707))"
8a2f5a341a07fff,0.75,"POLYGON((139.611314929454 35.7071657427004, 139.611354769042 35.7078492999407, 139.610707066147 35.7082337024614, 139.610019534401 35.7079345454408, 139.609979707683 35.7072509933994, 139.610627399841 35.7068665931796, 139.611314929454 35.7071657427004))"
8a2f5a363737fff,0.75,"POLYGON((139.651750947008 35.6881060526523, 139.651791167522 35.6887897433844, 139.651143508313 35.6891745257316, 139.650455639314 35.6888756150334, 139.650415431674 35.6881919294898, 139.651063080159 35.6878071494557, 139.651750947008 35.6881060526523))"
8a2f5a34c49ffff,0.75,"POLYGON((139.597951290817 35.7193380081831, 139.597991007637 35.7200215296576, 139.597343239359 35.7204057864914, 139.596655765003 35.7201065195545, 139.596616061054 35.7194230032824, 139.59726381859 35.7190387487449, 139.597951290817 35.7193380081831))"
8a2f5a36b58ffff,0.75,"POLYGON((139.593852469853 35.6949023445468, 139.59389213402 35.6955858144498, 139.593244590466 35.6959701229792, 139.59255739348 35.6956709593072, 139.592517742173 35.6949874946066, 139.593165274992 35.6946031883755, 139.593852469853 35.6949023445468))"
8a2f5a3636e7fff,0.75,"POLYGON((139.645922018498 35.6915688832455, 139.645962184487 35.6922525557938, 139.645314512741 35.6926372809611, 139.64462668573 35.6923383312688, 139.644586532614 35.6916546639105, 139.645234193635 35.6912699410544, 139.645922018498 35.6915688832455))"
8a2f5a36a54ffff,0.75,"POLYGON((139.613387541564 35.6967418155729, 139.613427395627 35.6974253660357, 139.612779777032 35.6978098203258, 139.612092315106 35.6975107218504, 139.61205247391 35.6968271765856, 139.612700081773 35.6964427245982, 139.613387541564 35.6967418155729))"
8a2f5a345587fff,0.75,"POLYGON((139.642758452694 35.7061832139598, 139.642798595946 35.706866894996, 139.642150806774 35.7072515456273, 139.641462885079 35.7069525129135, 139.641422754704 35.7062688370685, 139.642070533147 35.705884188746, 139.642758452694 35.7061832139598))"
8a2f5a36b447fff,0.75,"POLYGON((139.588394842206 35.693192507457, 139.588434452694 35.693875953107, 139.587786940516 35.6942602250028, 139.587099828585 35.6939610489513, 139.587060230956 35.6932776085049, 139.587707732398 35.6928933389064, 139.588394842206 35.693192507457))"
8a2f5a340ac7fff,0.75,"POLYGON((139.632553945608 35.7150714950308, 139.632593994904 35.7157551482352, 139.631946159234 35.7161396890473, 139.631258285002 35.7158405743498, 139.631218248584 35.7151569263396, 139.63186607352 35.7147723878326, 139.632553945608 35.7150714950308))"
8a2f5a363b47fff,0.75,"POLYGON((139.646172980574 35.6730242219947, 139.646213139005 35.6737078686729, 139.645565627525 35.6740926590545, 139.644877968333 35.6737938004443, 139.644837822769 35.6731101589553, 139.64548532353 35.6727253708873, 139.646172980574 35.6730242219947))"
8a2f5a363647fff,0.75,"POLYGON((139.644466077804 35.6896036687231, 139.644506228651 35.6902873326374, 139.643858578354 35.6906720531823, 139.643170787935 35.6903731075016, 139.64313064996 35.6896894487775, 139.643778289533 35.6893047305438, 139.644466077804 35.6896036687231))"
8a2f5a36e367fff,0.75,"POLYGON((139.618746286089 35.6737573896047, 139.618786179683 35.6744409281129, 139.618138744503 35.6748255025851, 139.617451426454 35.6745265362422, 139.617411545721 35.6738430029297, 139.618058970176 35.6734584307643, 139.618746286089 35.6737573896047))"
8a2f5a345baffff,0.78125,"POLYGON((139.631840340682 35.6914433483647, 139.631880370386 35.6921269646808, 139.631232742139 35.692511580687, 139.630545094915 35.6922125780692, 139.630505078082 35.6915289669464, 139.631152695601 35.6911443532481, 139.631840340682 35.6914433483647))"
8a2f5a34cd07fff,0.78125,"POLYGON((139.604519693927 35.7055412476257, 139.604559466922 35.7062247754379, 139.603911798677 35.7066091306197, 139.603224368173 35.7063099556899, 139.603184608045 35.7056264330781, 139.603832265554 35.7052420801958, 139.604519693927 35.7055412476257))"
8a2f5a361607fff,0.78125,"POLYGON((139.641926862279 35.669180221918, 139.641966977576 35.6698638461068, 139.641319512245 35.6702486165539, 139.640631942336 35.6699497604991, 139.640591839904 35.6692661415002, 139.641239294516 35.6688813733661, 139.641926862279 35.669180221918))"
8a2f5a36168ffff,0.78125,"POLYGON((139.641439844504 35.6722994899891, 139.641479956769 35.6729831167743, 139.640832465828 35.6733678727989, 139.640144873342 35.6730689997257, 139.640104773943 35.6723853781307, 139.640752254165 35.6720006244187, 139.641439844504 35.6722994899891))"
8a2f5a34096ffff,0.78125,"POLYGON((139.64287888472 35.708234260499, 139.642919030242 35.7089179449653, 139.642271222887 35.7093025895244, 139.64158328074 35.7090035473086, 139.641543148097 35.7083198680337, 139.642190944722 35.7079352257831, 139.64287888472 35.708234260499))"
8a2f5a3440d7fff,0.8125,"POLYGON((139.656237319513 35.7073772947185, 139.656277593837 35.7080610310814, 139.655629753749 35.7084457825453, 139.654941650064 35.7081467953345, 139.654901388621 35.7074630641598, 139.655549217983 35.7070783150077, 139.656237319513 35.7073772947185))"
8a2f5a363797fff,0.8125,"POLYGON((139.651992281459 35.6922082142702, 139.65203250652 35.6928919118911, 139.651384810961 35.6932766821168, 139.650696901064 35.6929777524089, 139.650656688878 35.6922940599766, 139.651304373714 35.6919092920636, 139.651992281459 35.6922082142702))"
8a2f5a36a2f7fff,0.8125,"POLYGON((139.599918568568 35.6955442097165, 139.599958291735 35.6962277047467, 139.599310724252 35.6966120582968, 139.598623444335 35.696312914517, 139.598583734031 35.6956294246877, 139.59923129078 35.6952450734373, 139.599918568568 35.6955442097165))"
8a2f5a36a627fff,0.8125,"POLYGON((139.606831769234 35.6992190358185, 139.606871561217 35.6999025637267, 139.606223940909 35.7002869585235, 139.605536539353 35.6999878231112, 139.605496760236 35.6993043004025, 139.60614436981 35.6989199079066, 139.606831769234 35.6992190358185))"
8a2f5a363b5ffff,0.8125,"POLYGON((139.645565627525 35.6740926590545, 139.645605780657 35.6747763048673, 139.64495826173 35.6751610868807, 139.64427060039 35.6748622207678, 139.644230460125 35.6741785801443, 139.644877968333 35.6737938004443, 139.645565627525 35.6740926590545))"
8a2f5a340967fff,0.8125,"POLYGON((139.644214640774 35.7081486367766, 139.644254799175 35.708832326434, 139.643606988544 35.7092169816828, 139.642919030242 35.7089179449653, 139.64287888472 35.708234260499, 139.643526684621 35.707849607559, 139.644214640774 35.7081486367766))"
8a2f5a34e94ffff,0.8125,"POLYGON((139.600621808754 35.7191679694738, 139.600661551315 35.7198515013523, 139.600013776438 35.7202357795591, 139.599326269741 35.7199365235904, 139.599286540051 35.7192529969138, 139.599934304187 35.7188687210039, 139.600621808754 35.7191679694738))"
8a2f5a345ac7fff,0.8125,"POLYGON((139.626619343816 35.6938365157139, 139.626659324303 35.6945201146973, 139.626011691011 35.6949046818971, 139.625324087961 35.6946056478072, 139.625284120344 35.6939220540185, 139.625931742907 35.693537489125, 139.626619343816 35.6938365157139))"
8a2f5a343b8ffff,0.84375,"POLYGON((139.619308557274 35.7292980958949, 139.619348486039 35.7299817167571, 139.618700566655 35.7303661057614, 139.618012729247 35.7300668716033, 139.617972813361 35.729383255939, 139.618620722004 35.7289988692349, 139.619308557274 35.7292980958949))"
8a2f5a34cda7fff,0.84375,"POLYGON((139.605974159105 35.7075066484739, 139.606013947216 35.7081901849171, 139.605366257497 35.7085745446983, 139.604678790404 35.7082753657366, 139.60463901516 35.7075918344935, 139.605286694143 35.707207477012, 139.605974159105 35.7075066484739))"
8a2f5a34521ffff,0.875,"POLYGON((139.624308536148 35.7001599147712, 139.624348497672 35.7008435136814, 139.623700816423 35.701228041292, 139.62301318438 35.7009289676876, 139.622973235726 35.7002453739729, 139.623620906245 35.6998608486672, 139.624308536148 35.7001599147712))"
